"activity_type" "subject" "domain" "detector" "operation" "mean"
"WALKING_DOWNSTAIRS" 15 "time" "BodyAccMag" "std" 0.353204008095238
"WALKING_UPSTAIRS" 15 "time" "BodyAccMag" "std" -0.136552217494583
"LAYING" 16 "time" "BodyAccMag" "std" -0.957895927714286
"SITTING" 16 "time" "BodyAccMag" "std" -0.941051236086957
"STANDING" 16 "time" "BodyAccMag" "std" -0.95729449448718
"WALKING" 16 "time" "BodyAccMag" "std" -0.47180926745098
"WALKING_DOWNSTAIRS" 16 "time" "BodyAccMag" "std" 0.119183740638298
"WALKING_UPSTAIRS" 16 "time" "BodyAccMag" "std" -0.334795080196078
"LAYING" 17 "time" "BodyAccMag" "std" -0.948257993521127
"SITTING" 17 "time" "BodyAccMag" "std" -0.96506519109375
"STANDING" 17 "time" "BodyAccMag" "std" -0.975377309871795
"WALKING" 17 "time" "BodyAccMag" "std" -0.461837866885246
"WALKING_DOWNSTAIRS" 17 "time" "BodyAccMag" "std" 0.0914076757326087
"WALKING_UPSTAIRS" 17 "time" "BodyAccMag" "std" -0.1028777303875
"LAYING" 18 "time" "BodyAccMag" "std" -0.986464542615385
"SITTING" 18 "time" "BodyAccMag" "std" -0.981595285964912
"STANDING" 18 "time" "BodyAccMag" "std" -0.972285545479452
"WALKING" 18 "time" "BodyAccMag" "std" -0.460346465357143
"WALKING_DOWNSTAIRS" 18 "time" "BodyAccMag" "std" -0.229934247036364
"WALKING_UPSTAIRS" 18 "time" "BodyAccMag" "std" -0.37184157
"LAYING" 19 "time" "BodyAccMag" "std" -0.963193489036145
"SITTING" 19 "time" "BodyAccMag" "std" -0.951755657260274
"STANDING" 19 "time" "BodyAccMag" "std" -0.962549342465753
"WALKING" 19 "time" "BodyAccMag" "std" -0.0993927171359615
"WALKING_DOWNSTAIRS" 19 "time" "BodyAccMag" "std" 0.413472376589744
"WALKING_UPSTAIRS" 19 "time" "BodyAccMag" "std" -0.177666828025
"LAYING" 20 "time" "BodyAccMag" "std" -0.939489444558824
"SITTING" 20 "time" "BodyAccMag" "std" -0.937764028181818
"STANDING" 20 "time" "BodyAccMag" "std" -0.910672094794521
"WALKING" 20 "time" "BodyAccMag" "std" -0.156930391921569
"WALKING_DOWNSTAIRS" 20 "time" "BodyAccMag" "std" 0.172636361444444
"WALKING_UPSTAIRS" 20 "time" "BodyAccMag" "std" -0.198269718823529
"LAYING" 21 "time" "BodyAccMag" "std" -0.942186431444444
"SITTING" 21 "time" "BodyAccMag" "std" -0.971994251294118
"STANDING" 21 "time" "BodyAccMag" "std" -0.956919898202247
"WALKING" 21 "time" "BodyAccMag" "std" -0.299709752173077
"WALKING_DOWNSTAIRS" 21 "time" "BodyAccMag" "std" 0.264341903711111
"WALKING_UPSTAIRS" 21 "time" "BodyAccMag" "std" -0.278474283829787
"LAYING" 22 "time" "BodyAccMag" "std" -0.909407761152778
"SITTING" 22 "time" "BodyAccMag" "std" -0.924336184035484
"STANDING" 22 "time" "BodyAccMag" "std" -0.939866315079365
"WALKING" 22 "time" "BodyAccMag" "std" -0.161591787478261
"WALKING_DOWNSTAIRS" 22 "time" "BodyAccMag" "std" 0.133267478527222
"WALKING_UPSTAIRS" 22 "time" "BodyAccMag" "std" -0.158757474833333
"LAYING" 23 "time" "BodyAccMag" "std" -0.957871990555555
"SITTING" 23 "time" "BodyAccMag" "std" -0.924963263235294
"STANDING" 23 "time" "BodyAccMag" "std" -0.9516698575
"WALKING" 23 "time" "BodyAccMag" "std" -0.209989354570847
"WALKING_DOWNSTAIRS" 23 "time" "BodyAccMag" "std" 0.230363964351852
"WALKING_UPSTAIRS" 23 "time" "BodyAccMag" "std" -0.271893714117647
"LAYING" 24 "time" "BodyAccMag" "std" -0.969354834166667
"SITTING" 24 "time" "BodyAccMag" "std" -0.963779683235294
"STANDING" 24 "time" "BodyAccMag" "std" -0.94790101173913
"WALKING" 24 "time" "BodyAccMag" "std" -0.48106401862069
"WALKING_DOWNSTAIRS" 24 "time" "BodyAccMag" "std" -0.0224839122854545
"WALKING_UPSTAIRS" 24 "time" "BodyAccMag" "std" -0.30685447
"LAYING" 25 "time" "BodyAccMag" "std" -0.649254767945205
"SITTING" 25 "time" "BodyAccMag" "std" -0.960003414461538
"STANDING" 25 "time" "BodyAccMag" "std" -0.968075629324324
"WALKING" 25 "time" "BodyAccMag" "std" -0.565601466081081
"WALKING_DOWNSTAIRS" 25 "time" "BodyAccMag" "std" -0.259465249913793
"WALKING_UPSTAIRS" 25 "time" "BodyAccMag" "std" -0.480006649846154
"LAYING" 26 "time" "BodyAccMag" "std" -0.964355190394737
"SITTING" 26 "time" "BodyAccMag" "std" -0.933602783410256
"STANDING" 26 "time" "BodyAccMag" "std" -0.962697299189189
"WALKING" 26 "time" "BodyAccMag" "std" -0.421848313898305
"WALKING_DOWNSTAIRS" 26 "time" "BodyAccMag" "std" 0.14700167906
"WALKING_UPSTAIRS" 26 "time" "BodyAccMag" "std" -0.1507071068
"LAYING" 27 "time" "BodyAccMag" "std" -0.978920176216216
"SITTING" 27 "time" "BodyAccMag" "std" -0.969526674714286
"STANDING" 27 "time" "BodyAccMag" "std" -0.9663601145
"WALKING" 27 "time" "BodyAccMag" "std" -0.407355787017544
"WALKING_DOWNSTAIRS" 27 "time" "BodyAccMag" "std" 0.121176277863636
"WALKING_UPSTAIRS" 27 "time" "BodyAccMag" "std" -0.37994878627451
"LAYING" 28 "time" "BodyAccMag" "std" -0.9545740295
"SITTING" 28 "time" "BodyAccMag" "std" -0.947782703333333
"STANDING" 28 "time" "BodyAccMag" "std" -0.917658334177215
"WALKING" 28 "time" "BodyAccMag" "std" -0.39269402
"WALKING_DOWNSTAIRS" 28 "time" "BodyAccMag" "std" 0.135465563932609
"WALKING_UPSTAIRS" 28 "time" "BodyAccMag" "std" -0.211928666470588
"LAYING" 29 "time" "BodyAccMag" "std" -0.981572147681159
"SITTING" 29 "time" "BodyAccMag" "std" -0.9692903165
"STANDING" 29 "time" "BodyAccMag" "std" -0.981745712923077
"WALKING" 29 "time" "BodyAccMag" "std" -0.262695063584906
"WALKING_DOWNSTAIRS" 29 "time" "BodyAccMag" "std" 0.1344811501875
"WALKING_UPSTAIRS" 29 "time" "BodyAccMag" "std" -0.0414696051693878
"LAYING" 30 "time" "BodyAccMag" "std" -0.960167907285714
"SITTING" 30 "time" "BodyAccMag" "std" -0.942901466612903
"STANDING" 30 "time" "BodyAccMag" "std" -0.916570441355932
"WALKING" 30 "time" "BodyAccMag" "std" -0.359873411538462
"WALKING_DOWNSTAIRS" 30 "time" "BodyAccMag" "std" -0.0135771208822581
"WALKING_UPSTAIRS" 30 "time" "BodyAccMag" "std" -0.327410815861538
"LAYING" 1 "time" "GravityAccMag" "std" -0.79514486386
"SITTING" 1 "time" "GravityAccMag" "std" -0.927078418723404
"STANDING" 1 "time" "GravityAccMag" "std" -0.981942928867925
"WALKING" 1 "time" "GravityAccMag" "std" -0.219688645631579
"WALKING_DOWNSTAIRS" 1 "time" "GravityAccMag" "std" 0.0198843506265306
"WALKING_UPSTAIRS" 1 "time" "GravityAccMag" "std" -0.324970929245283
"LAYING" 2 "time" "GravityAccMag" "std" -0.972873912916667
"SITTING" 2 "time" "GravityAccMag" "std" -0.953081444130435
"STANDING" 2 "time" "GravityAccMag" "std" -0.957874965
"WALKING" 2 "time" "GravityAccMag" "std" -0.422544169322034
"WALKING_DOWNSTAIRS" 2 "time" "GravityAccMag" "std" 0.215586334889362
"WALKING_UPSTAIRS" 2 "time" "GravityAccMag" "std" -0.205977045295833
"LAYING" 3 "time" "GravityAccMag" "std" -0.964218176451613
"SITTING" 3 "time" "GravityAccMag" "std" -0.8703017
"STANDING" 3 "time" "GravityAccMag" "std" -0.915143303606557
"WALKING" 3 "time" "GravityAccMag" "std" -0.328428936551724
"WALKING_DOWNSTAIRS" 3 "time" "GravityAccMag" "std" -0.0411340078469388
"WALKING_UPSTAIRS" 3 "time" "GravityAccMag" "std" -0.333597432542373
"LAYING" 4 "time" "GravityAccMag" "std" -0.931292216611111
"SITTING" 4 "time" "GravityAccMag" "std" -0.9144078448
"STANDING" 4 "time" "GravityAccMag" "std" -0.890976683392857
"WALKING" 4 "time" "GravityAccMag" "std" -0.527679103166667
"WALKING_DOWNSTAIRS" 4 "time" "GravityAccMag" "std" -0.0819559041111111
"WALKING_UPSTAIRS" 4 "time" "GravityAccMag" "std" -0.212012300480769
"LAYING" 5 "time" "GravityAccMag" "std" -0.958612786346154
"SITTING" 5 "time" "GravityAccMag" "std" -0.920939027727273
"STANDING" 5 "time" "GravityAccMag" "std" -0.87977380125
"WALKING" 5 "time" "GravityAccMag" "std" -0.377178733392857
"WALKING_DOWNSTAIRS" 5 "time" "GravityAccMag" "std" 0.205422375957447
"WALKING_UPSTAIRS" 5 "time" "GravityAccMag" "std" -0.136736383765957
"LAYING" 6 "time" "GravityAccMag" "std" -0.897326245964912
"SITTING" 6 "time" "GravityAccMag" "std" -0.931572655636364
"STANDING" 6 "time" "GravityAccMag" "std" -0.939310249649123
"WALKING" 6 "time" "GravityAccMag" "std" -0.266734167368421
"WALKING_DOWNSTAIRS" 6 "time" "GravityAccMag" "std" 0.373611914166667
"WALKING_UPSTAIRS" 6 "time" "GravityAccMag" "std" -0.0791508842176471
"LAYING" 7 "time" "GravityAccMag" "std" -0.907039513153846
"SITTING" 7 "time" "GravityAccMag" "std" -0.881957619770833
"STANDING" 7 "time" "GravityAccMag" "std" -0.933590156792453
"WALKING" 7 "time" "GravityAccMag" "std" -0.198554708385965
"WALKING_DOWNSTAIRS" 7 "time" "GravityAccMag" "std" 0.214544028088723
"WALKING_UPSTAIRS" 7 "time" "GravityAccMag" "std" -0.33474460745098
"LAYING" 8 "time" "GravityAccMag" "std" -0.91325033
"SITTING" 8 "time" "GravityAccMag" "std" -0.929943615630435
"STANDING" 8 "time" "GravityAccMag" "std" -0.937187185222222
"WALKING" 8 "time" "GravityAccMag" "std" -0.1804072826
"WALKING_DOWNSTAIRS" 8 "time" "GravityAccMag" "std" 0.131337867236842
"WALKING_UPSTAIRS" 8 "time" "GravityAccMag" "std" -0.227200254219512
"LAYING" 9 "time" "GravityAccMag" "std" -0.91512680016
"SITTING" 9 "time" "GravityAccMag" "std" -0.8637564342
"STANDING" 9 "time" "GravityAccMag" "std" -0.936105010444444
"WALKING" 9 "time" "GravityAccMag" "std" -0.37942877
"WALKING_DOWNSTAIRS" 9 "time" "GravityAccMag" "std" 0.265120131365238
"WALKING_UPSTAIRS" 9 "time" "GravityAccMag" "std" -0.400222037142857
"LAYING" 10 "time" "GravityAccMag" "std" -0.940301654482759
"SITTING" 10 "time" "GravityAccMag" "std" -0.939669591481481
"STANDING" 10 "time" "GravityAccMag" "std" -0.937264537954545
"WALKING" 10 "time" "GravityAccMag" "std" -0.185602396067925
"WALKING_DOWNSTAIRS" 10 "time" "GravityAccMag" "std" 0.156998205421053
"WALKING_UPSTAIRS" 10 "time" "GravityAccMag" "std" -0.211537480214383
"LAYING" 11 "time" "GravityAccMag" "std" -0.972891829473684
"SITTING" 11 "time" "GravityAccMag" "std" -0.944581826415094
"STANDING" 11 "time" "GravityAccMag" "std" -0.98030536893617
"WALKING" 11 "time" "GravityAccMag" "std" -0.487735915084746
"WALKING_DOWNSTAIRS" 11 "time" "GravityAccMag" "std" 0.0507743652521739
"WALKING_UPSTAIRS" 11 "time" "GravityAccMag" "std" -0.289592148148148
"LAYING" 12 "time" "GravityAccMag" "std" -0.936542686833333
"SITTING" 12 "time" "GravityAccMag" "std" -0.947517100196078
"STANDING" 12 "time" "GravityAccMag" "std" -0.935232945245902
"WALKING" 12 "time" "GravityAccMag" "std" -0.23697286882
"WALKING_DOWNSTAIRS" 12 "time" "GravityAccMag" "std" 0.0972608274652174
"WALKING_UPSTAIRS" 12 "time" "GravityAccMag" "std" -0.285844036153846
"LAYING" 13 "time" "GravityAccMag" "std" -0.947944746612903
"SITTING" 13 "time" "GravityAccMag" "std" -0.937935738571429
"STANDING" 13 "time" "GravityAccMag" "std" -0.968519673859649
"WALKING" 13 "time" "GravityAccMag" "std" -0.292546377017544
"WALKING_DOWNSTAIRS" 13 "time" "GravityAccMag" "std" -0.0156098198829787
"WALKING_UPSTAIRS" 13 "time" "GravityAccMag" "std" -0.326339622181818
"LAYING" 14 "time" "GravityAccMag" "std" -0.856593119215686
"SITTING" 14 "time" "GravityAccMag" "std" -0.92549582962963
"STANDING" 14 "time" "GravityAccMag" "std" -0.936735577166667
"WALKING" 14 "time" "GravityAccMag" "std" -0.36380562779661
"WALKING_DOWNSTAIRS" 14 "time" "GravityAccMag" "std" 0.428405922622222
"WALKING_UPSTAIRS" 14 "time" "GravityAccMag" "std" -0.0197686685018519
"LAYING" 15 "time" "GravityAccMag" "std" -0.943314107916667
"SITTING" 15 "time" "GravityAccMag" "std" -0.93797790559322
"STANDING" 15 "time" "GravityAccMag" "std" -0.948600432641509
"WALKING" 15 "time" "GravityAccMag" "std" -0.323878324074074
"WALKING_DOWNSTAIRS" 15 "time" "GravityAccMag" "std" 0.353204008095238
"WALKING_UPSTAIRS" 15 "time" "GravityAccMag" "std" -0.136552217494583
"LAYING" 16 "time" "GravityAccMag" "std" -0.957895927714286
"SITTING" 16 "time" "GravityAccMag" "std" -0.941051236086957
"STANDING" 16 "time" "GravityAccMag" "std" -0.95729449448718
"WALKING" 16 "time" "GravityAccMag" "std" -0.47180926745098
"WALKING_DOWNSTAIRS" 16 "time" "GravityAccMag" "std" 0.119183740638298
"WALKING_UPSTAIRS" 16 "time" "GravityAccMag" "std" -0.334795080196078
"LAYING" 17 "time" "GravityAccMag" "std" -0.948257993521127
"SITTING" 17 "time" "GravityAccMag" "std" -0.96506519109375
"STANDING" 17 "time" "GravityAccMag" "std" -0.975377309871795
"WALKING" 17 "time" "GravityAccMag" "std" -0.461837866885246
"WALKING_DOWNSTAIRS" 17 "time" "GravityAccMag" "std" 0.0914076757326087
"WALKING_UPSTAIRS" 17 "time" "GravityAccMag" "std" -0.1028777303875
"LAYING" 18 "time" "GravityAccMag" "std" -0.986464542615385
"SITTING" 18 "time" "GravityAccMag" "std" -0.981595285964912
"STANDING" 18 "time" "GravityAccMag" "std" -0.972285545479452
"WALKING" 18 "time" "GravityAccMag" "std" -0.460346465357143
"WALKING_DOWNSTAIRS" 18 "time" "GravityAccMag" "std" -0.229934247036364
"WALKING_UPSTAIRS" 18 "time" "GravityAccMag" "std" -0.37184157
"LAYING" 19 "time" "GravityAccMag" "std" -0.963193489036145
"SITTING" 19 "time" "GravityAccMag" "std" -0.951755657260274
"STANDING" 19 "time" "GravityAccMag" "std" -0.962549342465753
"WALKING" 19 "time" "GravityAccMag" "std" -0.0993927171359615
"WALKING_DOWNSTAIRS" 19 "time" "GravityAccMag" "std" 0.413472376589744
"WALKING_UPSTAIRS" 19 "time" "GravityAccMag" "std" -0.177666828025
"LAYING" 20 "time" "GravityAccMag" "std" -0.939489444558824
"SITTING" 20 "time" "GravityAccMag" "std" -0.937764028181818
"STANDING" 20 "time" "GravityAccMag" "std" -0.910672094794521
"WALKING" 20 "time" "GravityAccMag" "std" -0.156930391921569
"WALKING_DOWNSTAIRS" 20 "time" "GravityAccMag" "std" 0.172636361444444
"WALKING_UPSTAIRS" 20 "time" "GravityAccMag" "std" -0.198269718823529
"LAYING" 21 "time" "GravityAccMag" "std" -0.942186431444444
"SITTING" 21 "time" "GravityAccMag" "std" -0.971994251294118
"STANDING" 21 "time" "GravityAccMag" "std" -0.956919898202247
"WALKING" 21 "time" "GravityAccMag" "std" -0.299709752173077
"WALKING_DOWNSTAIRS" 21 "time" "GravityAccMag" "std" 0.264341903711111
"WALKING_UPSTAIRS" 21 "time" "GravityAccMag" "std" -0.278474283829787
"LAYING" 22 "time" "GravityAccMag" "std" -0.909407761152778
"SITTING" 22 "time" "GravityAccMag" "std" -0.924336184035484
"STANDING" 22 "time" "GravityAccMag" "std" -0.939866315079365
"WALKING" 22 "time" "GravityAccMag" "std" -0.161591787478261
"WALKING_DOWNSTAIRS" 22 "time" "GravityAccMag" "std" 0.133267478527222
"WALKING_UPSTAIRS" 22 "time" "GravityAccMag" "std" -0.158757474833333
"LAYING" 23 "time" "GravityAccMag" "std" -0.957871990555555
"SITTING" 23 "time" "GravityAccMag" "std" -0.924963263235294
"STANDING" 23 "time" "GravityAccMag" "std" -0.9516698575
"WALKING" 23 "time" "GravityAccMag" "std" -0.209989354570847
"WALKING_DOWNSTAIRS" 23 "time" "GravityAccMag" "std" 0.230363964351852
"WALKING_UPSTAIRS" 23 "time" "GravityAccMag" "std" -0.271893714117647
"LAYING" 24 "time" "GravityAccMag" "std" -0.969354834166667
"SITTING" 24 "time" "GravityAccMag" "std" -0.963779683235294
"STANDING" 24 "time" "GravityAccMag" "std" -0.94790101173913
"WALKING" 24 "time" "GravityAccMag" "std" -0.48106401862069
"WALKING_DOWNSTAIRS" 24 "time" "GravityAccMag" "std" -0.0224839122854545
"WALKING_UPSTAIRS" 24 "time" "GravityAccMag" "std" -0.30685447
"LAYING" 25 "time" "GravityAccMag" "std" -0.649254767945205
"SITTING" 25 "time" "GravityAccMag" "std" -0.960003414461538
"STANDING" 25 "time" "GravityAccMag" "std" -0.968075629324324
"WALKING" 25 "time" "GravityAccMag" "std" -0.565601466081081
"WALKING_DOWNSTAIRS" 25 "time" "GravityAccMag" "std" -0.259465249913793
"WALKING_UPSTAIRS" 25 "time" "GravityAccMag" "std" -0.480006649846154
"LAYING" 26 "time" "GravityAccMag" "std" -0.964355190394737
"SITTING" 26 "time" "GravityAccMag" "std" -0.933602783410256
"STANDING" 26 "time" "GravityAccMag" "std" -0.962697299189189
"WALKING" 26 "time" "GravityAccMag" "std" -0.421848313898305
"WALKING_DOWNSTAIRS" 26 "time" "GravityAccMag" "std" 0.14700167906
"WALKING_UPSTAIRS" 26 "time" "GravityAccMag" "std" -0.1507071068
"LAYING" 27 "time" "GravityAccMag" "std" -0.978920176216216
"SITTING" 27 "time" "GravityAccMag" "std" -0.969526674714286
"STANDING" 27 "time" "GravityAccMag" "std" -0.9663601145
"WALKING" 27 "time" "GravityAccMag" "std" -0.407355787017544
"WALKING_DOWNSTAIRS" 27 "time" "GravityAccMag" "std" 0.121176277863636
"WALKING_UPSTAIRS" 27 "time" "GravityAccMag" "std" -0.37994878627451
"LAYING" 28 "time" "GravityAccMag" "std" -0.9545740295
"SITTING" 28 "time" "GravityAccMag" "std" -0.947782703333333
"STANDING" 28 "time" "GravityAccMag" "std" -0.917658334177215
"WALKING" 28 "time" "GravityAccMag" "std" -0.39269402
"WALKING_DOWNSTAIRS" 28 "time" "GravityAccMag" "std" 0.135465563932609
"WALKING_UPSTAIRS" 28 "time" "GravityAccMag" "std" -0.211928666470588
"LAYING" 29 "time" "GravityAccMag" "std" -0.981572147681159
"SITTING" 29 "time" "GravityAccMag" "std" -0.9692903165
"STANDING" 29 "time" "GravityAccMag" "std" -0.981745712923077
"WALKING" 29 "time" "GravityAccMag" "std" -0.262695063584906
"WALKING_DOWNSTAIRS" 29 "time" "GravityAccMag" "std" 0.1344811501875
"WALKING_UPSTAIRS" 29 "time" "GravityAccMag" "std" -0.0414696051693878
"LAYING" 30 "time" "GravityAccMag" "std" -0.960167907285714
"SITTING" 30 "time" "GravityAccMag" "std" -0.942901466612903
"STANDING" 30 "time" "GravityAccMag" "std" -0.916570441355932
"WALKING" 30 "time" "GravityAccMag" "std" -0.359873411538462
"WALKING_DOWNSTAIRS" 30 "time" "GravityAccMag" "std" -0.0135771208822581
"WALKING_UPSTAIRS" 30 "time" "GravityAccMag" "std" -0.327410815861538
"LAYING" 1 "time" "BodyAccJerkMag" "std" -0.9282456284
"SITTING" 1 "time" "BodyAccJerkMag" "std" -0.984120024042553
"STANDING" 1 "time" "BodyAccJerkMag" "std" -0.993096209433962
"WALKING" 1 "time" "BodyAccJerkMag" "std" -0.0744717500625263
"WALKING_DOWNSTAIRS" 1 "time" "BodyAccJerkMag" "std" -0.0257877197081633
"WALKING_UPSTAIRS" 1 "time" "BodyAccJerkMag" "std" -0.478991622075472
"LAYING" 2 "time" "BodyAccJerkMag" "std" -0.98551807625
"SITTING" 2 "time" "BodyAccJerkMag" "std" -0.984475868043478
"STANDING" 2 "time" "BodyAccJerkMag" "std" -0.976675280185185
"WALKING" 2 "time" "BodyAccJerkMag" "std" -0.164150985127119
"WALKING_DOWNSTAIRS" 2 "time" "BodyAccJerkMag" "std" 0.22961718512766
"WALKING_UPSTAIRS" 2 "time" "BodyAccJerkMag" "std" -0.21738939458125
"LAYING" 3 "time" "BodyAccJerkMag" "std" -0.976121297903226
"SITTING" 3 "time" "BodyAccJerkMag" "std" -0.966550084230769
"STANDING" 3 "time" "BodyAccJerkMag" "std" -0.948770043278689
"WALKING" 3 "time" "BodyAccJerkMag" "std" -0.139916355325862
"WALKING_DOWNSTAIRS" 3 "time" "BodyAccJerkMag" "std" -0.0926324494530612
"WALKING_UPSTAIRS" 3 "time" "BodyAccJerkMag" "std" -0.439020591694915
"LAYING" 4 "time" "BodyAccJerkMag" "std" -0.960786430740741
"SITTING" 4 "time" "BodyAccJerkMag" "std" -0.9625491104
"STANDING" 4 "time" "BodyAccJerkMag" "std" -0.958159482142857
"WALKING" 4 "time" "BodyAccJerkMag" "std" -0.316918956
